name,                            lon,    lat
Grand Canyon Village AZ,     -112.15,  36.05
Palo Verde AZ,               -112.85,  33.40
Phoenix AZ,                  -112.10,  33.45
Tucson AZ,                   -110.95,  32.20
Bakersfield CA,              -119.35,  35.35
Big Sur CA,                  -121.75,  36.25
Brawley CA,                  -115.55,  33.00
Century City CA,             -118.40,  34.05
Coalinga CA,                 -120.40,  36.15
Concord CA,                  -122.00,  37.95
Cucamonga CA,                -117.55,  34.20
Death Valley CA,             -116.85,  36.35
Diablo Canyon CA,            -120.85,  35.20
Eureka CA,                   -124.20,  40.80
Fresno CA,                   -119.75,  36.75
Irvine CA,                   -117.80,  33.65
Long Beach CA,               -118.20,  33.80
Los Angeles CA,              -118.25,  34.05
Malibu West CA,              -118.95,  34.05
Mammoth Lakes CA,            -119.00,  37.65
Monterey CA,                 -121.90,  36.60
Morgan Hill CA,              -121.65,  37.15
Northridge CA,               -118.55,  34.20
Oakland CA,                  -122.25,  37.80
Palmdale CA,                 -118.00,  34.50
Palm Springs CA,             -116.55,  33.85
Pasadena CA,                 -118.15,  34.15
Redding CA,                  -122.40,  40.60
Riverside CA,                -117.40,  33.95
Sacramento CA,               -121.50,  38.60
San Bernardino CA,           -117.30,  34.10
San Diego CA,                -117.15,  32.70
San Francisco CA,            -122.40,  37.75
San Jose CA,                 -121.90,  37.35
San Luis Obispo CA,          -120.65,  35.30
San Mateo CA,                -122.30,  37.55
San Onofre CA,               -117.55,  33.40
Santa Barbara CA,            -119.70,  34.45
Santa Cruz CA,               -122.05,  36.95
Santa Rosa CA,               -122.70,  38.45
Vallejo CA,                  -122.25,  38.10
Ventura CA,                  -119.30,  34.30
Denver CO,                   -105.00,  39.75
La Junta CO,                 -103.55,  38.00
Paradox CO,                  -108.95,  38.40
Rangely CO,                  -108.80,  40.10
Trinidad CO,                 -104.50,  37.20
Boise ID,                    -116.20,  43.60
Idaho National Lab ID,       -112.85,  43.60
Bozeman MT,                  -111.05,  45.70
Billings MT,                 -108.50,  45.80
Lima MT,                     -112.60,  44.65
Missoula MT,                 -114.00,  46.90
Albuquerque NM,              -106.60,  35.10
Artesia NM,                  -104.40,  32.85
Los Alamos National Lab NM,  -106.30,  35.85
Las Cruces NM,               -106.75,  32.30
Carson City NV,              -119.75,  39.15
Elko NV,                     -115.75,  40.85
Las Vegas NV,                -115.15,  36.20
Reno NV,                     -119.80,  39.55
Astoria OR,                  -123.85,  46.20
Bend OR,                     -121.30,  44.05
Brookings OR,                -124.25,  42.05
Coos Bay OR,                 -124.20,  43.40
Eugene OR,                   -123.10,  44.05
Klamath Falls OR,            -121.80,  42.20
Medford OR,                  -122.90,  42.35
Newport OR,                  -124.05,  44.65
Pendleton OR,                -118.80,  45.70
Portland OR,                 -122.65,  45.50
Salem OR,                    -123.05,  44.95
Edgemont SD,                 -103.85,  43.30
Amarillo TX,                 -101.85,  35.20
Kermit TX,                   -103.10,  31.85
Snyder TX,                   -100.90,  32.70
Brigham City UT,             -112.00,  41.50
Cedar City UT,               -113.05,  37.70
Green River UT,              -110.15,  39.00
Provo UT,                    -111.65,  40.25
Salt Lake City UT,           -111.90,  40.75
Aberdeen WA,                 -123.80,  47.00
Bellingham WA,               -122.50,  48.75
Ellensburg WA,               -120.55,  47.00
Everett WA,                  -122.20,  48.00
Hanford Site WA,             -119.60,  46.55
Olympia WA,                  -122.90,  47.05
Seattle WA,                  -122.30,  47.60
Spokane WA,                  -117.40,  47.65
Tacoma WA,                   -122.45,  47.25
Yakima WA,                   -120.50,  46.60
Casper WY,                   -106.30,  42.85
Cheyenne WY,                 -104.80,  41.15
Jackson WY,                  -110.75,  43.50
Yellowstone WY,              -110.55,  44.40
